timestamp,value
1608508597.495772,53.25
1608508657.500518,53.25
1608508717.3852754,53.25
1608508777.4565208,53.25
1608508837.4786463,54.0
1608508897.5188901,53.75
1608508957.5682847,54.0
1608509017.6165798,54.0
1608509077.6518476,54.25
1608509137.708147,55.0
1608509137.776951,55.0
1608509198.1940894,54.75
1608509258.0864277,55.25
1608509318.2386975,55.75
1608509377.9268525,56.0
1608509437.9617052,55.0
1608509498.0030644,54.5
1608509558.2228293,54.25
1608509618.1013756,54.5
1608509678.1485348,54.5
1608509738.4645426,54.25
1608509798.2352521,53.75
1608509858.2952433,53.5
1608509918.332212,54.0
1608509978.4059553,53.75
1608510038.4246423,54.0
1608510098.4713898,53.5
1608510158.7069194,53.75
1608510218.5934422,54.0
1608510278.6200836,55.25
1608510338.6833422,55.25
1608510398.937608,55.75
1608510458.94514,56.0
1608510518.8128839,56.0
1608510578.8742816,56.5
1608510638.9075935,57.0
1608510698.9377973,57.5
1608510759.1806135,57.5
1608510819.0568128,57.75
1608510879.0976653,57.5
1608510939.4098017,58.0
1608510999.2018135,57.5
1608511059.436532,57.75
1608511119.29823,57.5
1608511179.3549864,57.75
1608511239.3754044,58.0
1608511299.4270244,57.75
1608511359.6623383,57.25
1608511419.5070772,58.0
1608511479.575968,57.5
1608511539.6858096,57.75
1608511599.9132442,57.5
1608511659.6794271,57.25
1608511719.7285542,56.75
1608511779.8955193,56.5
1608511839.8207574,56.5
1608511899.873091,56.75
1608511960.1157565,56.25
1608512019.9720528,56.25
1608512080.0082107,56.0
1608512140.0603864,56.25
1608512200.3493893,55.75
1608512260.3554296,56.0
1608512320.2085192,55.0
1608512380.2629838,55.25
1608512440.305134,55.25
1608512500.361195,55.5
1608512560.603058,55.0
1608512620.6137738,54.75
1608512680.4946308,54.25
1608512740.543915,54.5
1608512800.5919373,54.0
1608512860.6524112,53.75
1608512920.9062736,53.75
1608512980.776533,53.75
1608513040.8186655,54.0
1608513101.0752468,54.0
1608513161.1009796,53.5
1608513220.9405334,54.5
1608513281.0247207,55.0
1608513341.0341494,54.75
1608513401.103654,55.5
1608513461.3260145,55.75
1608513521.1747544,56.0
1608513581.2116652,56.25
1608513641.2694588,56.25
1608513701.3328297,56.75
1608513761.362384,57.0
1608513821.444988,57.5
1608513881.579127,57.25
1608513941.792028,57.5
1608514001.5493307,57.75
1608514061.8104656,57.25
1608514121.6525056,57.75
1608514181.8130612,57.5
1608514241.7423944,57.25
1608514301.8088825,57.5
1608514361.8510346,57.75
1608514421.8642933,57.5
1608514481.9192667,56.75
1608514542.2712035,57.25
1608514602.0275273,57.0
1608514662.076585,56.25
1608514722.1236374,56.5
1608514782.1774042,56.75
1608514842.24533,56.5
1608514902.2518973,56.25
1608514962.289599,56.0
1608515022.5121887,56.0
1608515082.3963492,56.0
1608515142.44831,55.5
1608515202.476076,55.75
1608515262.7509918,55.0
1608515322.574984,55.5
1608515382.6261542,55.25
1608515442.6751266,55.25
1608515502.7137067,55.25
1608515562.7871602,55.5
1608515622.8127387,54.25
1608515682.8604288,54.75
1608515742.9240134,54.75
1608515802.9655068,54.75
1608515862.996572,53.75
1608515923.0554407,54.0
1608515983.1185992,54.25
1608516043.1536863,54.5
1608516103.1901865,54.5
1608516163.242426,54.75
1608516223.2902398,55.0
1608516283.3339157,55.0
1608516343.3849025,55.5
1608516403.4334624,56.0
1608516463.6993926,55.75
1608516523.5582154,56.25
1608516583.5885363,56.5
